item,original_passage,reduced_passage,critical_q_knows,critical_q_understands,critical_q_recognizes,critical_q_assumes,critical_q_believes,critical_q_suspects,critical_q_thinks,critical_q_neutral,start,end,first_mention,recent_mention,information,knowledge_state,knowledge_state_format,relocation_verb_tense
91,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK]. ",David watches Marta move his wine out of the garage and into the fridge.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,Start,End,Knowledge Cue + State,True Belief,Explicit,present
92,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah thinks the painting is in the [MASK]. ",Sarah watches James move her painting from the hall to the bedroom.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,Start,End,Knowledge Cue + State,True Belief,Explicit,present
93,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK]. ",Lisa watches Robert move her grater from the cupboard to the drawer.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,Start,End,Knowledge Cue + State,True Belief,Explicit,present
94,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John thinks the shovel is in the [MASK]. ",John watches Karen take his shovel out of the toolbox and put it away in the van. ,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,Start,End,Knowledge Cue + State,True Belief,Explicit,present
95,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole take the ticket out of the suitcase and place it in the backpack. Patrick wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ",Patrick watches Nicole take his ticket out of the suitcase and place it in the backpack.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,Start,End,Knowledge Cue + State,True Belief,Explicit,present
96,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. When, she finishes, she comes back. She watches Martin take the saddle from the stable and put it in the hut. Hannah wants to use the saddle again. Hannah goes to get the saddle from the [MASK].",Hannah watches Martin take her saddle from the stable and put it in the hut. ,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,Start,End,Knowledge Cue + State,True Belief,Explicit,present
97,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.",Anna moves Sean’s book to the basket from the box.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,End,Start,Knowledge Cue,Neutral,None,present
98,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.",James moves Mary’s jam into the fridge after taking it out of the cupboard.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,End,Start,Knowledge Cue,Neutral,None,present
99,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.",Helen moves Cameron’s shirt into the basket from the sink.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,End,Start,Knowledge Cue,Neutral,None,present
100,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.",Tim moves Paula’s football into the garage after taking it out of the shed.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,End,Start,Knowledge Cue,Neutral,None,present
101,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.",Seana moves Ed’s keys to the study from the hall.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,End,Start,Knowledge Cue,Neutral,None,present
102,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.",Ross takes Laura’s stapler and puts it back in the cabinet instead of the drawer.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,End,Start,Knowledge Cue,Neutral,None,present
103,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",Marta moves David’s wine into the fridge from the garage.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,End,Start,Knowledge Cue,Neutral,None,present
104,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.",James moves Sarah’s painting to the bedroom from the hall.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,End,Start,Knowledge Cue,Neutral,None,present
105,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.",Robert moves Lisa’s grater to the drawer from the cupboard.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,End,Start,Knowledge Cue,Neutral,None,present
106,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.",Karen puts John’s shovel away in the van instead of the toolbox.,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,End,Start,Knowledge Cue,Neutral,None,present
107,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick wants to check the ticket one more time.",Nicole places Patrick’s ticket in the backpack after taking it out of the suitcase.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,End,Start,Knowledge Cue,Neutral,None,present
108,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. When, she finishes, she comes back. She watches Martin put the saddle in the hut instead of the stable. Hannah wants to use the saddle again.",Martin puts Hannah’s saddle in the hut instead of the stable.,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,End,Start,Knowledge Cue,Neutral,None,present
109,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean leaves to get something to eat in the kitchen. While he is away, Anna moves the book from the box to the basket. Sean comes back into the room and wants to read more of his book. Sean thinks the book is in the [MASK].",Anna moves Sean’s book from the box to the basket.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,Start,End,Knowledge Cue,Neutral,None,present
110,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary goes out of the kitchen to get something from her room. While she is away, James moves the jam out of the cupboard and into the fridge. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK].",James moves Mary’s jam out of the cupboard and into the fridge.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,Start,End,Knowledge Cue,Neutral,None,present
111,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Then he goes to his room to get changed. Cameron doesn't see Helen move the shirt from the sink to the basket. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK].",Helen moves Cameron’s shirt from the sink to the basket.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,Start,End,Knowledge Cue,Neutral,None,present
112,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Then Paula goes to run some errands. Paula is away while Tim moves the football out of the shed and into the garage. Paula gets back and wants to play catch again. Paula thinks the football is in the [MASK].",Tim moves Paula’s football out of the shed and into the garage.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,Start,End,Knowledge Cue,Neutral,None,present
113,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Afterwards, Ed goes to the bathroom. Ed doesn't see Seana move the keys from the hall to the study. When Ed gets back from the bathroom, he realizes he needs his keys. Ed thinks the keys are in the [MASK].",Seana moves Ed’s keys from the hall to the study.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,Start,End,Knowledge Cue,Neutral,None,present
114,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura leaves to go and make a coffee. Laura doesn't see Ross take the stapler out of the drawer and put it in the cabinet. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK].",Ross takes Laura’s stapler out of the drawer and puts it in the cabinet.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,Start,End,Knowledge Cue,Neutral,None,present
115,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",Marta moves David’s wine out of the garage and into the fridge.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,Start,End,Knowledge Cue,Neutral,None,present
116,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK].",James moves Sarah’s painting from the hall to the bedroom.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,Start,End,Knowledge Cue,Neutral,None,present
117,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",Robert moves Lisa’s grater from the cupboard to the drawer.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,Start,End,Knowledge Cue,Neutral,None,present
118,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",Karen takes John’s shovel out of the toolbox and puts it away in the van.,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,Start,End,Knowledge Cue,Neutral,None,present
119,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. Patrick doesn't see Nicole take the ticket out of the suitcase and place it in the backpack. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK].",Nicole takes Patrick’s ticket out of the suitcase and places it in the backpack.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,Start,End,Knowledge Cue,Neutral,None,present
120,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. Meanwhile, Martin takes the saddle from the stable and puts it in the hut. When Hannah finishes her bath, she wants to use the saddle again. Hannah thinks the saddle is in the [MASK].",Martin takes Hannah’s saddle from the stable and puts it in the hut.,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,Start,End,Knowledge Cue,Neutral,None,present
121,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book from the box to the basket. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book. Sean thinks the book is in the [MASK]. ",Sean is there when Anna moves his book from the box to the basket.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,Start,End,Knowledge Cue + State,True Belief,Implicit,present
122,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam out of the cupboard and into the fridge. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK]. ",Mary is there when James moves her jam out of the cupboard and into the fridge.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,Start,End,Knowledge Cue + State,True Belief,Implicit,present
123,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt from the sink to the basket. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron goes to get his shirt out of the [MASK]. ",Cameron is in the room when Helen moves his shirt from the sink to the basket.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,Start,End,Knowledge Cue + State,True Belief,Implicit,present
124,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football out of the shed and into the garage. Then Paula goes to run some errands. Paula gets back and wants to play catch again. Paula goes to get the football from the [MASK]. ",Paula is in the room when Tim moves her football out of the shed and into the garage.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,Start,End,Knowledge Cue + State,True Belief,Implicit,present
125,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys from the hall to the study. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys. Ed goes to get the keys from the [MASK]. ",Ed is present when Seana moves his keys from the hall to the study.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,Start,End,Knowledge Cue + State,True Belief,Implicit,present
126,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler out of the drawer and put it in the cabinet. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together. Laura goes to get the stapler from the [MASK]. ",Laura is present when Ross takes her stapler out of the drawer and puts it in the cabinet.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,Start,End,Knowledge Cue + State,True Belief,Implicit,present
127,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK]. ",David is there when Marta moves his wine out of the garage and into the fridge.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,Start,End,Knowledge Cue + State,True Belief,Implicit,present
128,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah thinks the painting is in the [MASK]. ",Sarah is there when James moves her painting from the hall to the bedroom.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,Start,End,Knowledge Cue + State,True Belief,Implicit,present
129,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK]. ",Lisa is in the room when Robert moves her grater from the cupboard to the drawer.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,Start,End,Knowledge Cue + State,True Belief,Implicit,present
130,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John thinks the shovel is in the [MASK]. ",John is there when Karen takes his shovel out of the toolbox and puts it away in the van. ,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,Start,End,Knowledge Cue + State,True Belief,Implicit,present
131,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole take the ticket out of the suitcase and place it in the backpack. Patrick wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ",Patrick is present when Nicole takes his ticket out of the suitcase and places it in the backpack.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,Start,End,Knowledge Cue + State,True Belief,Implicit,present
132,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. When, she finishes, she comes back. She watches Martin take the saddle from the stable and put it in the hut. Hannah wants to use the saddle again. Hannah goes to get the saddle from the [MASK]. ",Hannah is there when Martin takes her saddle from the stable and puts it in the hut. ,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,Start,End,Knowledge Cue + State,True Belief,Implicit,present
133,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book. Sean goes to get the book from the [MASK]. ",Sean is there when Anna moves his book to the basket from the box. ,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,End,Start,Knowledge Cue + State,True Belief,Implicit,present
134,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK]. ",Mary is there when James moves her jam into the fridge after taking it out of the cupboard.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,End,Start,Knowledge Cue + State,True Belief,Implicit,present
135,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK]. ",Cameron is in the room when Helen moves his shirt into the basket from the sink.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,End,Start,Knowledge Cue + State,True Belief,Implicit,present
